0,1,2
3,-1,0
-151,-142,-15
13,19,3
13,17,5
-18,-28,-1
1,7,-7
87,64,11
-7,-6,1
-43,-38,-9
-85,-67,-13
46,49,11
-20,-7,-5
30,26,7
-197,-177,-15
52,74,9
33,44,9
-49,-13,-7
-31,-17,-3
-12,-4,-7
91,73,13
1,-4,-3
-143,-147,-15
-71,-63,-9
14,21,5
-5,-3,-3
-23,-24,-5
145,118,13
9,-3,1
-34,-43,-11
-230,-209,-15
-12,-12,1
114,112,13
42,50,11
-36,-38,-8
-2,13,1
-27,-24,-8
-30,-31,-8
11,14,3
10,7,1
25,25,7
37,36,8
38,36,8
23,23,8
-30,-19,-8
-12,-21,-3
-24,-28,-5
-34,-34,-5
9,17,3
32,29,8
18,20,4
1,4,1
17,20,4
-10,-5,-1
-8,-5,-1
-21,-26,-11
-33,-35,-7
19,26,4
-2,-5,-1
-12,-9,-2
-6,-6,-2
-28,-38,-6
-9,-3,-1
-7,-5,-2
10,2,1
81,80,0
5,17,-1
-120,-105,-13
-8,5,-3
252,239,15
126,122,13
-25,-27,-7
-30,-21,-9
15,10,-3
32,28,5
-4,8,1
-170,-160,-15
199,179,15
-6,-25,-7
85,97,11
-5,-1,1
37,42,9
3,6,5
-36,-37,-9
-64,-54,-11
34,37,7
-38,-52,-9
272,260,15
-3,-9,-3
-145,-118,-13
47,60,11
109,134,13
-41,-40,-7
-57,-55,-11
10,12,-1
1,-5,-5
-29,-42,-5
7,14,-3
32,35,7
34,29,5
35,26,7
20,27,8
33,28,7
-8,8,-1
3,-8,-3
29,29,8
30,14,3
5,4,1
43,42,8
-21,-19,-5
3,4,3
36,41,8
-12,-8,-3
21,36,5
-10,-24,-3
15,15,4
4,1,1
14,14,3
-14,-12,-4
-17,-23,-7
19,24,5
-11,-28,-4
-27,-30,-6
-5,-3,-1
-26,-39,-6
-12,-6,-1
7,7,1
2,6,1
-1,3,1
-55,-37,0
27,54,11
46,77,9
6,9,3
-77,-63,-11
181,176,15
114,122,13
-8,11,-1
-99,-110,-11
-2,-5,-1
10,4,5
-22,-23,-5
28,12,5
127,128,13
-170,-157,-15
2,6,3
-22,-25,-7
-90,-98,-11
128,104,13
169,157,15
55,45,9
-11,-20,-7
-21,-19,-1
58,59,9
33,23,7
-13,-2,1
3,-17,-3
-190,-204,-15
-113,-125,-13
-26,-14,-3
13,39,9
31,27,7
31,27,5
40,41,8
-42,-26,-8
13,12,5
-17,-14,-3
-13,-10,-3
18,20,7
-35,-28,-5
20,36,8
-26,-32,-8
-13,-18,-1
21,34,8
17,35,8
-55,-49,-8
18,13,5
-2,3,-1
77,85,8
5,-1,1
-37,-44,-11
3,8,3
-9,-8,-1
17,14,4
8,13,4
-15,-14,-4
11,33,4
9,6,2
-30,-23,-3
3,8,3
-18,-15,-5
-8,-10,-3
9,16,4
-1,-1,0
93,87,0
26,22,3
64,61,9
-159,-170,-15
47,46,11
13,27,1
-48,-58,-11
50,39,9
33,13,5
-34,-41,-9
51,47,7
-63,-67,-13
-7,-13,-7
-133,-147,-13
33,34,7
-26,-37,-5
26,27,3
-13,-6,1
-23,-30,-9
-19,-15,-1
-118,-131,-15
1,-22,-5
9,-2,3
5,-2,1
106,124,15
-15,-11,3
-61,-55,-11
-72,-61,-11
103,110,13
39,45,7
-90,-85,-13
161,168,15
-20,-1,-5
53,49,8
-15,-16,-7
50,48,8
-13,-32,-3
-27,-19,-8
-47,-47,-8
14,10,1
12,8,5
22,36,8
-35,-32,-7
17,34,8
13,22,5
-36,-39,-8
-32,-28,-8
44,35,7
-61,-44,-8
11,14,3
-28,-42,-12
-20,-21,-4
3,-1,1
21,16,4
-12,-14,-4
-2,23,4
-15,-16,-3
8,7,2
-9,-3,-1
4,11,2
23,42,10
-18,-32,-8
2,-8,-2
7,-6,-1
52,38,0
22,16,3
20,32,7
-99,-110,-13
-24,-19,-3
-31,-31,-5
-13,-20,-9
12,-8,-1
-163,-145,-15
159,153,15
-68,-69,-11
-82,-77,-11
145,141,13
-21,-24,-5
14,19,5
-60,-79,-11
3,-8,-1
-193,-172,-15
148,137,15
1,4,1
-132,-124,-13
-2,9,3
-82,-99,-11
22,29,1
63,69,9
62,58,7
-52,-33,-9
7,31,3
-1,-15,-7
49,61,9
7,-10,7
20,40,5
65,78,13
24,4,1
37,26,5
-26,-26,-8
27,32,8
-23,-32,-8
-22,-11,-3
23,35,5
35,31,3
34,37,8
-12,-14,-7
13,8,5
24,56,8
-23,-33,-1
-30,-26,1
-16,-7,-5
19,3,1
6,3,3
1,4,1
22,19,4
-6,-5,-1
-33,-16,-4
49,37,4
40,27,4
-9,1,-4
6,8,1
1,-3,1
11,6,2
5,7,1
2,-4,1
4,9,1
1,5,0
84,75,0
-87,-84,-13
-108,-103,-15
24,21,5
-49,-34,-5
21,33,7
48,50,7
39,48,9
9,15,5
62,61,11
-6,1,-1
-275,-237,-15
-16,-1,1
-91,-97,-9
14,22,3
-66,-74,-11
101,88,11
-18,-18,-1
42,30,3
7,-6,-3
99,101,13
81,64,11
-159,-149,-15
9,-1,-3
-19,-21,-1
-169,-173,-15
-1,-21,-5
100,84,9
-52,-69,-9
-120,-124,-13
-119,-115,-13
37,28,7
-28,-30,-7
-40,-20,-7
-6,-1,-1
-4,-9,-3
32,26,8
9,-1,1
16,20,5
-42,-42,-8
-21,-15,-3
11,29,8
-24,-20,-3
-25,-36,-7
39,33,8
-7,-6,-5
-30,-26,-5
30,37,1
82,63,1
-6,-9,-1
14,21,3
-36,-38,-11
-10,-14,-4
-12,-30,-7
50,42,11
-19,-16,-4
5,5,1
-11,-12,-2
9,9,2
-16,-32,-9
-5,-7,-1
2,4,0
-2,1,0
1,-3,0
11,-18,0
171,177,15
110,98,13
82,90,9
-10,-9,1
12,10,3
141,145,13
-26,-22,-3
106,135,15
-111,-128,-13
54,40,7
-7,7,-3
17,6,1
-37,-51,-5
81,81,11
-57,-50,-7
-43,-43,-9
21,31,7
-10,-26,-5
46,53,9
-38,-8,-5
-54,-75,-11
158,181,15
-16,-1,-5
116,111,13
106,114,11
-5,-7,-1
-98,-127,-15
6,8,1
68,82,11
14,4,-3
-13,-28,-7
109,94,9
