Season,WOLDiff,WLKDiff,SAGDiff,RPIDiff,POMDiff,MORDiff,DOLDiff,COLDiff,SeedDiff,Team1,Team2
2003,26,3,6,31,-5,16,-19,-1,0,1411,1421
2003,-175,-151,-156,-142,-141,-183,-154,-142,-15,1112,1436
2003,20,13,8,6,12,-1,27,19,3,1113,1272
2003,32,13,30,21,23,17,19,17,5,1141,1166
2003,-21,-18,-6,-20,-8,12,-24,-28,-1,1143,1301
2003,2,1,-5,9,-3,-25,-10,7,-7,1163,1140
2003,67,87,79,63,79,75,82,64,11,1161,1181
2003,-2,-7,-3,14,6,15,-4,-6,1,1211,1153
2003,-49,-43,-49,-40,-47,-54,-43,-38,-9,1228,1443
2003,-83,-85,-97,-73,-105,-126,-78,-67,-13,1242,1429
2003,60,46,54,51,67,87,32,49,11,1221,1266
2003,-12,-20,-28,-17,-33,-48,-11,-7,-5,1281,1356
2003,30,30,27,31,34,16,34,26,7,1454,1323
2003,-205,-197,-223,-175,-221,-232,-184,-177,-15,1328,1354
2003,72,52,58,61,52,52,77,74,9,1360,1390
2003,46,33,32,51,22,3,64,44,9,1409,1173
2003,-33,-49,-40,-16,-44,-85,-41,-13,-7,1458,1451
2003,-13,-31,-23,-9,-27,-6,-21,-17,-3,1386,1120
2003,-7,-12,-19,-11,-40,-66,-9,-4,-7,1280,1139
2003,104,91,131,76,128,162,85,73,13,1358,1196
2003,-1,1,4,9,13,8,-4,-4,-3,1231,1104
2003,-154,-143,-161,-159,-132,-144,-138,-147,-15,1246,1237
2003,-65,-71,-97,-62,-109,-137,-50,-63,-9,1257,1122
2003,36,14,30,14,28,39,21,21,5,1423,1268
2003,-3,-5,3,-15,-3,-14,7,-3,-3,1277,1160
2003,-31,-23,-24,-37,-14,-54,-7,-24,-5,1329,1335
2003,165,145,171,95,186,187,142,118,13,1447,1338
2003,3,9,7,-9,17,26,10,-3,1,1345,1261
2003,-57,-34,-57,-46,-48,-67,-52,-43,-11,1393,1264
2003,-213,-230,-246,-182,-266,-265,-251,-209,-15,1400,1421
2003,-8,-12,8,-34,-5,39,4,-12,1,1428,1332
2003,121,114,124,118,135,129,101,112,13,1190,1448
2003,50,42,65,46,52,89,42,50,11,1407,1462
2003,-41,-36,-37,-41,-38,-50,-48,-38,-8,1112,1211
2003,11,-2,-6,7,-7,-8,3,13,1,1163,1390
2003,-40,-27,-38,-32,-42,-40,-28,-24,-8,1181,1141
2003,-27,-30,-28,-26,-28,-20,-37,-31,-8,1242,1113
2003,15,11,8,7,11,6,10,14,3,1281,1266
2003,4,10,6,-4,17,31,5,7,1,1323,1228
2003,20,25,32,30,31,37,19,25,7,1143,1328
2003,41,37,39,39,37,20,55,36,8,1409,1458
2003,36,38,34,29,33,24,39,36,8,1120,1448
2003,19,23,29,24,37,60,12,23,8,1139,1257
2003,-24,-30,-37,-15,-36,-65,-32,-19,-8,1246,1428
2003,-12,-12,-8,-17,-2,10,-18,-21,-3,1462,1268
2003,-27,-24,-29,-16,-19,-9,-37,-28,-5,1196,1277
2003,-33,-34,-38,-39,-44,-31,-32,-34,-5,1338,1231
2003,19,9,13,13,14,8,22,17,3,1329,1393
2003,27,32,29,26,31,25,33,29,8,1345,1400
2003,16,18,15,12,19,32,15,20,4,1323,1112
2003,-3,1,6,6,4,8,-2,4,1,1181,1242
2003,19,17,18,24,15,14,23,20,4,1458,1246
2003,-5,-10,-11,-2,-11,-15,-7,-5,-1,1338,1266
2003,-10,-8,-15,6,-6,-7,-13,-5,-1,1268,1277
2003,-23,-21,-27,-32,-42,-68,-22,-26,-11,1328,1139
2003,-35,-33,-31,-27,-30,-23,-38,-35,-7,1393,1120
2003,25,19,18,24,16,5,19,26,4,1163,1400
2003,-10,-2,-2,-4,-1,2,-9,-5,-1,1112,1242
2003,-7,-12,-13,-9,-12,-17,-9,-9,-2,1246,1266
2003,1,-6,-4,-6,-6,-15,1,-6,-2,1328,1393
2003,-31,-28,-31,-27,-18,-4,-38,-38,-6,1400,1277
2003,4,-9,-10,-4,-9,-16,1,-3,-1,1242,1266
2003,2,-7,-7,-5,-8,-9,2,-5,-2,1400,1393
2003,-7,10,8,3,11,19,-6,2,1,1393,1242
2004,83,81,65,68,58,43,94,80,0,1197,1250
2004,4,5,-3,1,-11,-31,26,17,-1,1104,1356
2004,-127,-120,-143,-110,-154,-158,-108,-105,-13,1163,1436
2004,-4,-8,-9,-3,-9,-12,3,5,-3,1177,1173
2004,260,252,262,229,277,269,271,239,15,1106,1181
2004,134,126,148,130,130,112,127,122,13,1434,1211
2004,-38,-25,-38,-29,-38,-52,-29,-27,-7,1196,1264
2004,-36,-30,-25,-28,-27,-62,-18,-21,-9,1268,1431
2004,-5,15,19,10,15,-11,17,10,-3,1277,1305
2004,33,32,30,51,36,50,22,28,5,1102,1314
2004,6,-4,-2,13,5,-6,4,8,1,1112,1371
2004,-188,-170,-194,-162,-176,-182,-189,-160,-15,1386,1251
2004,210,199,227,193,204,206,204,179,15,1427,1390
2004,-26,-6,5,-17,-4,-16,-10,-25,-7,1393,1140
2004,108,85,101,111,85,113,78,97,11,1343,1400
2004,3,-5,5,4,10,14,-4,-1,1,1150,1403
2004,54,37,68,34,69,63,42,42,9,1433,1448
2004,12,3,1,14,4,14,4,6,5,1428,1130
2004,-48,-36,-59,-50,-52,-80,-31,-37,-9,1153,1190
2004,-66,-64,-76,-43,-70,-71,-65,-54,-11,1210,1320
2004,41,34,32,35,44,57,36,37,7,1293,1228
2004,-61,-38,-57,-72,-33,-49,-43,-52,-9,1242,1227
2004,285,272,283,260,272,253,271,260,15,1197,1246
2004,3,-3,5,-13,-3,-3,-4,-9,-3,1272,1376
2004,-156,-145,-172,-112,-181,-207,-148,-118,-13,1280,1284
2004,78,47,59,54,54,59,65,60,11,1418,1301
2004,143,109,122,121,120,119,120,134,13,1186,1329
2004,-41,-41,-50,-44,-50,-67,-35,-40,-7,1344,1334
2004,-51,-57,-76,-54,-95,-117,-51,-55,-11,1338,1416
2004,11,10,13,27,15,-2,8,12,-1,1449,1412
2004,-19,1,-7,-17,-6,-1,9,-5,-5,1435,1444
2004,-39,-29,-29,-35,-24,-42,-40,-42,-5,1458,1350
2004,17,7,17,11,3,2,3,14,-3,1462,1257
2004,30,32,27,19,22,20,43,35,7,1104,1390
2004,30,34,40,32,44,41,31,29,5,1177,1163
2004,32,35,33,27,27,31,37,26,7,1371,1181
2004,43,20,22,20,20,14,31,27,8,1305,1211
2004,25,33,24,27,24,19,30,28,7,1403,1386
2004,-3,-8,-18,4,-11,-7,-5,8,-1,1268,1393
2004,-4,3,2,-9,6,9,-5,-8,-3,1400,1314
2004,43,29,46,22,43,55,40,29,8,1264,1448
2004,15,30,30,6,30,18,19,14,3,1130,1210
2004,4,5,4,12,4,3,-1,4,1,1228,1153
2004,39,43,49,50,46,76,37,42,8,1334,1242
2004,-19,-21,-24,-26,-23,-29,-19,-19,-5,1329,1272
2004,13,3,6,4,11,-2,6,4,3,1458,1338
2004,42,36,36,31,32,39,45,41,8,1412,1246
2004,-9,-12,-9,-10,-18,-20,-19,-8,-3,1301,1435
2004,40,21,28,31,19,13,30,36,5,1462,1280
2004,-14,-10,2,-12,-7,-3,-22,-24,-3,1393,1104
2004,13,15,14,22,16,26,20,15,4,1435,1163
2004,-1,4,5,2,-6,1,2,1,1,1338,1329
2004,9,14,9,17,8,3,12,14,3,1448,1386
2004,-17,-14,-17,-22,-18,-15,-12,-12,-4,1181,1228
2004,-42,-17,-17,-13,-12,-26,-26,-23,-7,1210,1305
2004,20,19,17,18,11,27,30,24,5,1412,1242
2004,-34,-11,-22,-25,-9,-1,-25,-28,-4,1400,1462
2004,-23,-27,-26,-21,-26,-24,-35,-30,-6,1163,1104
2004,-3,-5,-3,-3,-4,7,-5,-3,-1,1386,1329
2004,-42,-26,-36,-34,-25,-20,-34,-39,-6,1181,1462
2004,-14,-12,-15,1,-15,-4,-11,-6,-1,1210,1242
2004,5,7,6,4,7,2,7,7,1,1163,1181
2004,3,2,3,10,1,5,3,6,1,1210,1329
2004,2,-1,1,11,2,7,-1,3,1,1210,1163
2005,-60,-55,-101,-34,-95,-103,-86,-37,0,1324,1105
2005,42,27,32,42,11,22,53,54,11,1429,1112
2005,79,46,51,46,60,66,69,77,9,1335,1130
2005,9,6,3,19,2,4,2,9,3,1234,1153
2005,-56,-77,-85,-72,-78,-109,-56,-63,-11,1211,1457
2005,181,181,200,167,192,195,182,176,15,1192,1228
2005,110,114,136,105,135,160,107,122,13,1184,1246
2005,1,-8,-16,10,-13,-27,-17,11,-1,1400,1305
2005,-123,-99,-117,-77,-100,-103,-104,-110,-11,1328,1310
2005,-17,-2,-2,-14,17,46,-11,-5,-1,1334,1338
2005,7,10,29,10,10,9,28,4,5,1417,1403
2005,-15,-22,-18,-24,-23,-26,-26,-23,-5,1261,1412
2005,24,28,28,10,43,24,24,12,5,1431,1428
2005,126,127,139,128,160,165,134,128,13,1151,1448
2005,-166,-170,-177,-155,-182,-170,-161,-157,-15,1449,1285
2005,14,2,7,10,2,16,18,6,3,1166,1452
2005,-20,-22,-20,-41,-24,-45,-20,-25,-7,1104,1454
2005,-74,-90,-105,-63,-98,-132,-79,-98,-11,1242,1137
2005,97,128,156,95,180,177,133,104,13,1416,1163
2005,157,169,207,125,196,208,182,157,15,1175,1181
2005,40,55,61,29,75,98,50,45,9,1325,1196
2005,-27,-11,-20,-29,-21,-13,-23,-20,-7,1210,1203
2005,-11,-21,-13,-22,-14,7,-11,-19,-1,1278,1235
2005,47,58,69,35,49,64,67,59,9,1418,1257
2005,10,33,42,14,66,67,21,23,7,1330,1277
2005,-1,-13,-17,-12,3,-4,-15,-2,1,1280,1390
2005,-11,3,18,-32,25,42,2,-17,-3,1150,1301
