,0,1,2
0,3,-1,0
1,-151,-142,-15
2,13,19,3
3,13,17,5
4,-18,-28,-1
5,1,7,-7
6,87,64,11
7,-7,-6,1
8,-43,-38,-9
9,-85,-67,-13
10,46,49,11
11,-20,-7,-5
12,30,26,7
13,-197,-177,-15
14,52,74,9
15,33,44,9
16,-49,-13,-7
17,-31,-17,-3
18,-12,-4,-7
19,91,73,13
20,1,-4,-3
21,-143,-147,-15
22,-71,-63,-9
23,14,21,5
24,-5,-3,-3
25,-23,-24,-5
26,145,118,13
27,9,-3,1
28,-34,-43,-11
29,-230,-209,-15
30,-12,-12,1
31,114,112,13
32,42,50,11
33,-36,-38,-8
34,-2,13,1
35,-27,-24,-8
36,-30,-31,-8
37,11,14,3
38,10,7,1
39,25,25,7
40,37,36,8
41,38,36,8
42,23,23,8
43,-30,-19,-8
44,-12,-21,-3
45,-24,-28,-5
46,-34,-34,-5
47,9,17,3
48,32,29,8
49,18,20,4
50,1,4,1
51,17,20,4
52,-10,-5,-1
53,-8,-5,-1
54,-21,-26,-11
55,-33,-35,-7
56,19,26,4
57,-2,-5,-1
58,-12,-9,-2
59,-6,-6,-2
60,-28,-38,-6
61,-9,-3,-1
62,-7,-5,-2
63,10,2,1
64,81,80,0
65,5,17,-1
66,-120,-105,-13
67,-8,5,-3
68,252,239,15
69,126,122,13
70,-25,-27,-7
71,-30,-21,-9
72,15,10,-3
73,32,28,5
74,-4,8,1
75,-170,-160,-15
76,199,179,15
77,-6,-25,-7
78,85,97,11
79,-5,-1,1
80,37,42,9
81,3,6,5
82,-36,-37,-9
83,-64,-54,-11
84,34,37,7
85,-38,-52,-9
86,272,260,15
87,-3,-9,-3
88,-145,-118,-13
89,47,60,11
90,109,134,13
91,-41,-40,-7
92,-57,-55,-11
93,10,12,-1
94,1,-5,-5
95,-29,-42,-5
96,7,14,-3
97,32,35,7
98,34,29,5
99,35,26,7
100,20,27,8
101,33,28,7
102,-8,8,-1
103,3,-8,-3
104,29,29,8
105,30,14,3
106,5,4,1
107,43,42,8
108,-21,-19,-5
109,3,4,3
110,36,41,8
111,-12,-8,-3
112,21,36,5
113,-10,-24,-3
114,15,15,4
115,4,1,1
116,14,14,3
117,-14,-12,-4
118,-17,-23,-7
119,19,24,5
120,-11,-28,-4
121,-27,-30,-6
122,-5,-3,-1
123,-26,-39,-6
124,-12,-6,-1
125,7,7,1
126,2,6,1
127,-1,3,1
128,-55,-37,0
129,27,54,11
130,46,77,9
131,6,9,3
132,-77,-63,-11
133,181,176,15
134,114,122,13
135,-8,11,-1
136,-99,-110,-11
137,-2,-5,-1
138,10,4,5
139,-22,-23,-5
140,28,12,5
141,127,128,13
142,-170,-157,-15
143,2,6,3
144,-22,-25,-7
145,-90,-98,-11
146,128,104,13
147,169,157,15
148,55,45,9
149,-11,-20,-7
150,-21,-19,-1
151,58,59,9
152,33,23,7
153,-13,-2,1
154,3,-17,-3
155,-190,-204,-15
156,-113,-125,-13
157,-26,-14,-3
158,13,39,9
159,31,27,7
160,31,27,5
161,40,41,8
162,-42,-26,-8
163,13,12,5
164,-17,-14,-3
165,-13,-10,-3
166,18,20,7
167,-35,-28,-5
168,20,36,8
169,-26,-32,-8
170,-13,-18,-1
171,21,34,8
172,17,35,8
173,-55,-49,-8
174,18,13,5
175,-2,3,-1
176,77,85,8
177,5,-1,1
178,-37,-44,-11
179,3,8,3
180,-9,-8,-1
181,17,14,4
182,8,13,4
183,-15,-14,-4
184,11,33,4
185,9,6,2
186,-30,-23,-3
187,3,8,3
188,-18,-15,-5
189,-8,-10,-3
190,9,16,4
191,-1,-1,0
192,93,87,0
193,26,22,3
194,64,61,9
195,-159,-170,-15
196,47,46,11
197,13,27,1
198,-48,-58,-11
199,50,39,9
200,33,13,5
201,-34,-41,-9
202,51,47,7
203,-63,-67,-13
204,-7,-13,-7
205,-133,-147,-13
206,33,34,7
207,-26,-37,-5
208,26,27,3
209,-13,-6,1
210,-23,-30,-9
211,-19,-15,-1
212,-118,-131,-15
213,1,-22,-5
214,9,-2,3
215,5,-2,1
216,106,124,15
217,-15,-11,3
218,-61,-55,-11
219,-72,-61,-11
220,103,110,13
221,39,45,7
222,-90,-85,-13
223,161,168,15
224,-20,-1,-5
225,53,49,8
226,-15,-16,-7
227,50,48,8
228,-13,-32,-3
229,-27,-19,-8
230,-47,-47,-8
231,14,10,1
232,12,8,5
233,22,36,8
234,-35,-32,-7
235,17,34,8
236,13,22,5
237,-36,-39,-8
238,-32,-28,-8
239,44,35,7
240,-61,-44,-8
241,11,14,3
242,-28,-42,-12
243,-20,-21,-4
244,3,-1,1
245,21,16,4
246,-12,-14,-4
247,-2,23,4
248,-15,-16,-3
249,8,7,2
250,-9,-3,-1
251,4,11,2
252,23,42,10
253,-18,-32,-8
254,2,-8,-2
255,7,-6,-1
256,52,38,0
257,22,16,3
258,20,32,7
259,-99,-110,-13
260,-24,-19,-3
261,-31,-31,-5
262,-13,-20,-9
263,12,-8,-1
264,-163,-145,-15
265,159,153,15
266,-68,-69,-11
267,-82,-77,-11
268,145,141,13
269,-21,-24,-5
270,14,19,5
271,-60,-79,-11
272,3,-8,-1
273,-193,-172,-15
274,148,137,15
275,1,4,1
276,-132,-124,-13
277,-2,9,3
278,-82,-99,-11
279,22,29,1
280,63,69,9
281,62,58,7
282,-52,-33,-9
283,7,31,3
284,-1,-15,-7
285,49,61,9
286,7,-10,7
287,20,40,5
288,65,78,13
289,24,4,1
290,37,26,5
291,-26,-26,-8
292,27,32,8
293,-23,-32,-8
294,-22,-11,-3
295,23,35,5
296,35,31,3
297,34,37,8
298,-12,-14,-7
299,13,8,5
300,24,56,8
301,-23,-33,-1
302,-30,-26,1
303,-16,-7,-5
304,19,3,1
305,6,3,3
306,1,4,1
307,22,19,4
308,-6,-5,-1
309,-33,-16,-4
310,49,37,4
311,40,27,4
312,-9,1,-4
313,6,8,1
314,1,-3,1
315,11,6,2
316,5,7,1
317,2,-4,1
318,4,9,1
319,1,5,0
320,84,75,0
321,-87,-84,-13
322,-108,-103,-15
323,24,21,5
324,-49,-34,-5
325,21,33,7
326,48,50,7
327,39,48,9
328,9,15,5
329,62,61,11
330,-6,1,-1
331,-275,-237,-15
332,-16,-1,1
333,-91,-97,-9
334,14,22,3
335,-66,-74,-11
336,101,88,11
337,-18,-18,-1
338,42,30,3
339,7,-6,-3
340,99,101,13
341,81,64,11
342,-159,-149,-15
343,9,-1,-3
344,-19,-21,-1
345,-169,-173,-15
346,-1,-21,-5
347,100,84,9
348,-52,-69,-9
349,-120,-124,-13
350,-119,-115,-13
351,37,28,7
352,-28,-30,-7
353,-40,-20,-7
354,-6,-1,-1
355,-4,-9,-3
356,32,26,8
357,9,-1,1
358,16,20,5
359,-42,-42,-8
360,-21,-15,-3
361,11,29,8
362,-24,-20,-3
363,-25,-36,-7
364,39,33,8
365,-7,-6,-5
366,-30,-26,-5
367,30,37,1
368,82,63,1
369,-6,-9,-1
370,14,21,3
371,-36,-38,-11
372,-10,-14,-4
373,-12,-30,-7
374,50,42,11
375,-19,-16,-4
376,5,5,1
377,-11,-12,-2
378,9,9,2
379,-16,-32,-9
380,-5,-7,-1
381,2,4,0
382,-2,1,0
383,1,-3,0
384,11,-18,0
385,171,177,15
386,110,98,13
387,82,90,9
388,-10,-9,1
389,12,10,3
390,141,145,13
391,-26,-22,-3
392,106,135,15
393,-111,-128,-13
394,54,40,7
395,-7,7,-3
396,17,6,1
397,-37,-51,-5
398,81,81,11
399,-57,-50,-7
400,-43,-43,-9
401,21,31,7
402,-10,-26,-5
403,46,53,9
404,-38,-8,-5
405,-54,-75,-11
406,158,181,15
407,-16,-1,-5
408,116,111,13
409,106,114,11
410,-5,-7,-1
411,-98,-127,-15
412,6,8,1
413,68,82,11
414,14,4,-3
415,-13,-28,-7
416,109,94,9
417,40,31,8
