Season,AstDiff,BlkDiff,DRDiff,FGA3Diff,FGADiff,FGM3Diff,FGMDiff,FTADiff,FTMDiff,ORDiff,PFDiff,ScoreDiff,SeedDiff,StlDiff,TODiff,Team1,Team2
2003,-1,-3,-2,2,-2,1,-3,5,-3,3,0,-8,0,0,3,1411,1421
2003,-10,-4,-10,-7,-2,-3,-11,-7,-4,-3,7,-29,15,0,1,1436,1112
2003,7,-1,5,-14,-10,-1,6,1,2,-10,1,13,3,5,-3,1113,1272
2003,-5,-5,3,-10,-7,-4,2,8,6,-3,-2,6,5,7,-3,1141,1166
2003,-1,6,6,1,-8,2,-2,-3,0,-8,5,-2,1,-3,1,1301,1143
2003,-3,4,3,-3,-12,2,-3,14,9,-3,-6,5,-7,-5,3,1163,1140
2003,4,-4,-3,-2,0,-1,-1,-9,-7,-2,-4,-10,11,-5,3,1161,1181
2003,-1,-4,6,-13,-19,-4,-6,27,21,-5,-9,5,1,-5,2,1211,1153
2003,5,-1,5,-10,-2,-3,2,1,4,-2,-2,5,-9,5,0,1228,1443
2003,0,3,1,-11,-5,-4,5,1,-3,-6,2,3,-13,2,-2,1242,1429
2003,0,2,0,1,-3,4,-2,-2,4,-3,3,4,-11,0,1,1266,1221
2003,-12,6,14,-6,-13,-3,2,-3,0,-2,0,1,-5,-2,10,1281,1356
2003,8,-3,-10,10,12,5,0,-5,-6,3,6,-1,7,5,-8,1454,1323
2003,-8,-1,-2,2,0,-4,-3,-16,-7,-4,11,-17,15,-1,4,1354,1328
2003,9,8,4,6,3,4,9,-17,-14,-5,6,8,-9,1,3,1390,1360
2003,-7,2,-10,16,9,1,-5,-4,-4,4,8,-13,-9,-3,-1,1173,1409
2003,-7,-2,-3,8,13,1,-2,-7,-4,12,4,-7,7,-3,1,1451,1458
2003,0,1,3,-6,-2,1,3,-3,-5,-1,-3,2,3,-4,3,1120,1386
2003,5,4,3,3,-3,1,-2,6,2,1,-2,-1,-7,3,2,1280,1139
2003,-14,1,-6,-10,-4,-7,-13,4,3,3,1,-30,13,-5,6,1358,1196
2003,2,-4,2,6,-3,2,-3,10,9,4,-4,5,-3,-1,0,1231,1104
2003,12,3,7,5,5,6,18,-11,-11,-5,2,31,-15,0,-6,1246,1237
2003,7,1,8,3,16,6,11,-9,-6,7,4,22,-9,7,-6,1257,1122
2003,1,2,8,-10,-1,-3,7,-11,-9,-2,1,2,-5,-4,5,1268,1423
2003,7,-7,5,-1,-4,2,0,8,13,-2,-1,15,-3,-1,-2,1277,1160
2003,2,0,-2,-2,-9,1,-7,-12,-1,-8,3,-14,5,-7,7,1335,1329
2003,-9,-4,-3,5,-8,-2,-12,-3,0,-1,1,-26,13,-8,10,1447,1338
2003,0,-2,7,-10,-8,3,7,2,7,-9,5,24,1,2,3,1345,1261
2003,0,7,14,-10,-9,-2,8,-3,-3,-3,3,11,-11,-4,7,1393,1264
2003,10,-1,12,-5,0,1,8,8,4,6,0,21,-15,-3,3,1400,1421
2003,0,2,-6,6,6,6,-1,-6,-2,0,0,2,1,1,-2,1428,1332
2003,6,5,4,13,9,1,5,-8,-8,6,-1,3,-13,-4,4,1448,1190
2003,6,-2,9,-9,-1,-5,3,12,11,5,-8,12,-11,-1,1,1462,1407
2003,2,1,-2,6,3,4,0,-8,-5,-2,5,-1,8,-2,2,1211,1112
2003,0,5,-4,13,-6,2,-4,-4,-5,-6,5,-11,-1,-2,2,1390,1163
2003,6,7,4,-2,-5,2,11,2,2,-10,4,26,-8,11,-10,1181,1141
2003,-10,-1,-14,6,10,-1,-12,-11,-7,5,1,-32,8,1,-2,1113,1242
2003,-1,-4,5,-18,-10,-3,4,1,4,-10,3,9,-3,2,0,1266,1281
2003,0,1,1,7,-2,8,3,-11,-6,-5,3,8,1,-1,2,1323,1228
2003,-10,2,-5,3,1,-2,1,-12,-9,-7,8,-9,7,3,-3,1143,1328
2003,0,0,-8,11,-2,3,-4,12,6,-1,-5,1,-8,4,-6,1458,1409
2003,6,-1,-2,-4,7,-4,6,-1,-2,0,-5,6,8,2,-4,1120,1448
2003,-8,0,1,3,2,-3,1,-15,-7,-2,10,-8,-8,2,2,1257,1139
2003,3,1,8,-1,7,0,7,2,6,5,-3,20,-8,-3,-3,1246,1428
2003,7,6,12,-5,1,-4,10,-7,-3,-1,5,13,3,0,1,1268,1462
2003,-6,1,-7,5,-2,-1,-9,-6,-3,-1,2,-22,-5,-3,4,1196,1277
2003,-2,1,-6,8,-3,2,-6,-18,-12,-5,4,-22,5,-6,5,1231,1338
2003,0,-5,-6,7,6,-2,-4,1,-2,6,0,-12,3,-3,5,1329,1393
2003,-2,-2,5,-5,0,0,2,2,6,0,-3,10,-8,-3,0,1400,1345
2003,-4,-1,-3,9,-17,3,-11,7,2,-5,-1,-17,4,-6,9,1323,1112
2003,3,-2,7,-14,2,-9,4,9,5,7,-2,4,-1,-2,3,1242,1181
2003,0,3,2,-16,4,-7,5,8,3,5,-3,6,-4,3,-1,1246,1458
2003,-2,-1,-2,-2,-1,2,-1,7,3,0,-1,3,1,1,-2,1266,1338
2003,2,-1,2,1,2,4,2,-6,-6,2,5,2,1,-4,3,1277,1268
2003,5,-1,6,-3,12,0,8,-5,-5,12,0,11,-11,-1,0,1328,1139
2003,1,-2,5,8,-3,5,-2,-4,-2,-1,2,-1,7,-4,7,1120,1393
2003,0,-3,4,5,-2,1,-6,11,15,7,0,4,-4,-2,-1,1400,1163
2003,0,-3,4,-4,-12,2,-6,5,7,-4,-3,-3,-1,-5,4,1112,1242
2003,-7,-4,-10,-3,9,-6,-6,9,4,10,-3,-14,-2,4,-4,1246,1266
2003,-6,2,-14,16,10,3,-7,-8,-5,2,3,-16,-2,0,-5,1328,1393
2003,-5,-2,6,2,3,2,0,-12,-11,4,6,-9,6,-5,8,1277,1400
2003,-15,-2,-15,-3,3,-5,-15,1,2,2,2,-33,1,-1,-1,1266,1242
2003,-6,0,11,-8,-7,-3,5,-1,4,-8,-5,11,2,3,-1,1393,1400
2003,-5,3,-1,-2,-8,7,-1,-13,-2,-15,6,3,1,1,-1,1393,1242
2004,-1,-1,4,-10,2,-1,7,4,2,-2,-5,15,0,1,-5,1197,1250
2004,-8,1,4,-6,-6,-5,0,11,6,1,-7,1,-1,3,2,1104,1356
