Season,WOLDiff,WLKDiff,SAGDiff,POMDiff,MORDiff,DOLDiff,COLDiff,Team1,Team2,SeedDiff
2003,26,3,6,-5,16,-19,-1,1411,1421,0
2003,175,151,156,141,183,154,142,1436,1112,15
2003,20,13,8,12,-1,27,19,1113,1272,3
2003,32,13,30,23,17,19,17,1141,1166,5
2003,-21,-18,-6,-8,12,-24,-28,1143,1301,-1
2003,2,1,-5,-3,-25,-10,7,1163,1140,-7
2003,-67,-87,-79,-79,-75,-82,-64,1181,1161,-11
2003,-2,-7,-3,6,15,-4,-6,1211,1153,1
2003,49,43,49,47,54,43,38,1443,1228,9
2003,-83,-85,-97,-105,-126,-78,-67,1242,1429,-13
2003,60,46,54,67,87,32,49,1221,1266,11
2003,-12,-20,-28,-33,-48,-11,-7,1281,1356,-5
2003,-30,-30,-27,-34,-16,-34,-26,1323,1454,-7
2003,205,197,223,221,232,184,177,1354,1328,15
2003,72,52,58,52,52,77,74,1360,1390,9
2003,-46,-33,-32,-22,-3,-64,-44,1173,1409,-9
2003,33,49,40,44,85,41,13,1451,1458,7
2003,-13,-31,-23,-27,-6,-21,-17,1386,1120,-3
2003,-7,-12,-19,-40,-66,-9,-4,1280,1139,-7
2003,-104,-91,-131,-128,-162,-85,-73,1196,1358,-13
2003,1,-1,-4,-13,-8,4,4,1104,1231,3
2003,-154,-143,-161,-132,-144,-138,-147,1246,1237,-15
2003,65,71,97,109,137,50,63,1122,1257,9
2003,-36,-14,-30,-28,-39,-21,-21,1268,1423,-5
2003,3,5,-3,3,14,-7,3,1160,1277,3
2003,-31,-23,-24,-14,-54,-7,-24,1329,1335,-5
2003,-165,-145,-171,-186,-187,-142,-118,1338,1447,-13
2003,3,9,7,17,26,10,-3,1345,1261,1
2003,57,34,57,48,67,52,43,1264,1393,11
2003,213,230,246,266,265,251,209,1421,1400,15
2003,8,12,-8,5,-39,-4,12,1332,1428,-1
2003,-121,-114,-124,-135,-129,-101,-112,1448,1190,-13
2003,-50,-42,-65,-52,-89,-42,-50,1462,1407,-11
2003,41,36,37,38,50,48,38,1211,1112,8
2003,11,-2,-6,-7,-8,3,13,1163,1390,1
2003,40,27,38,42,40,28,24,1141,1181,8
2003,27,30,28,28,20,37,31,1113,1242,8
2003,15,11,8,11,6,10,14,1281,1266,3
2003,4,10,6,17,31,5,7,1323,1228,1
2003,20,25,32,31,37,19,25,1143,1328,7
2003,-41,-37,-39,-37,-20,-55,-36,1458,1409,-8
2003,-36,-38,-34,-33,-24,-39,-36,1448,1120,-8
2003,19,23,29,37,60,12,23,1139,1257,8
2003,-24,-30,-37,-36,-65,-32,-19,1246,1428,-8
2003,-12,-12,-8,-2,10,-18,-21,1462,1268,-3
2003,27,24,29,19,9,37,28,1277,1196,5
2003,33,34,38,44,31,32,34,1231,1338,5
2003,-19,-9,-13,-14,-8,-22,-17,1393,1329,-3
2003,27,32,29,31,25,33,29,1345,1400,8
2003,16,18,15,19,32,15,20,1323,1112,4
2003,3,-1,-6,-4,-8,2,-4,1242,1181,-1
2003,-19,-17,-18,-15,-14,-23,-20,1246,1458,-4
2003,-5,-10,-11,-11,-15,-7,-5,1338,1266,-1
2003,10,8,15,6,7,13,5,1277,1268,1
2003,23,21,27,42,68,22,26,1139,1328,11
2003,-35,-33,-31,-30,-23,-38,-35,1393,1120,-7
2003,-25,-19,-18,-16,-5,-19,-26,1400,1163,-4
2003,-10,-2,-2,-1,2,-9,-5,1112,1242,-1
2003,-7,-12,-13,-12,-17,-9,-9,1246,1266,-2
2003,1,-6,-4,-6,-15,1,-6,1328,1393,-2
2003,-31,-28,-31,-18,-4,-38,-38,1400,1277,-6
2003,4,-9,-10,-9,-16,1,-3,1242,1266,-1
2003,-2,7,7,8,9,-2,5,1393,1400,2
2003,7,-10,-8,-11,-19,6,-2,1242,1393,-1
